trial #,trial cups,trial moves,cup speed,Correct/Incorrect,time to response,
1,2,1,0.75,Incorrect,4.335185,
1,2,1,0.75,Incorrect,4.351994,
1,2,1,0.75,Incorrect,4.369216,
1,2,1,0.75,Incorrect,4.386501,
1,2,1,0.75,Incorrect,4.404474,
1,2,1,0.75,Incorrect,4.420499,
1,2,1,0.75,Incorrect,4.437287,
1,2,1,0.75,Incorrect,4.454594,
1,2,1,0.75,Incorrect,4.471179,
1,2,1,0.75,Incorrect,4.489266,
1,2,1,0.75,Incorrect,4.508552,
1,2,1,0.75,Incorrect,4.52517,
1,2,1,0.75,Incorrect,4.542624,
1,2,1,0.75,Incorrect,4.559404,
1,2,1,0.75,Incorrect,4.576607,
1,2,1,0.75,Incorrect,4.592906,
1,2,1,0.75,Incorrect,4.610431,
1,2,1,0.75,Incorrect,4.627093,
1,2,1,0.75,Incorrect,4.643696,
1,2,1,0.75,Incorrect,4.660855,
1,2,1,0.75,Incorrect,4.677207,
1,2,1,0.75,Incorrect,4.694492,
1,2,1,0.75,Incorrect,4.711264,
1,2,1,0.75,Incorrect,4.728105,
1,2,1,0.75,Incorrect,4.745117,
1,2,1,0.75,Incorrect,4.76167,
1,2,1,0.75,Incorrect,4.778498,
1,2,1,0.75,Incorrect,4.795693,
1,2,1,0.75,Incorrect,4.812468,
1,2,1,0.75,Incorrect,4.829414,
1,2,1,0.75,Incorrect,4.845957,
1,2,1,0.75,Incorrect,4.862761,
1,2,1,0.75,Incorrect,4.882972,
1,2,1,0.75,Incorrect,4.899673,
1,2,1,0.75,Incorrect,4.916319,
1,2,1,0.75,Incorrect,4.933491,
1,2,1,0.75,Incorrect,4.950749,
1,2,1,0.75,Incorrect,4.967947,
1,2,1,0.75,Incorrect,4.985028,
1,2,1,0.75,Incorrect,5.001692,
1,2,1,0.75,Incorrect,5.018488,
1,2,1,0.75,Incorrect,5.03522,
1,2,1,0.75,Incorrect,5.052231,
1,2,1,0.75,Incorrect,5.069349,
1,2,1,0.75,Incorrect,5.088258,
1,2,1,0.75,Incorrect,5.10547,
1,2,1,0.75,Incorrect,5.122523,
1,2,1,0.75,Incorrect,5.139388,
1,2,1,0.75,Incorrect,5.155953,
1,2,1,0.75,Incorrect,5.173037,
1,2,1,0.75,Incorrect,5.189904,
1,2,1,0.75,Incorrect,5.207621,
1,2,1,0.75,Incorrect,5.224432,
1,2,1,0.75,Incorrect,5.241846,
1,2,1,0.75,Incorrect,5.258739,
1,2,1,0.75,Incorrect,5.275293,
1,2,1,0.75,Incorrect,5.292216,
1,2,1,0.75,Incorrect,5.309975,
1,2,1,0.75,Incorrect,5.327896,
1,2,1,0.75,Incorrect,5.344191,
1,2,1,0.75,Incorrect,5.360906,
1,2,1,0.75,Incorrect,5.378627,
1,2,1,0.75,Incorrect,5.394801,
1,2,1,0.75,Incorrect,5.412489,
1,2,1,0.75,Incorrect,5.428994,
1,2,1,0.75,Incorrect,5.447451,
1,2,1,0.75,Incorrect,5.46416,
1,2,1,0.75,Incorrect,5.480882,
1,2,1,0.75,Incorrect,5.498308,
1,2,1,0.75,Incorrect,5.515651,
1,2,1,0.75,Incorrect,5.532501,
1,2,1,0.75,Incorrect,5.549239,
1,2,1,0.75,Incorrect,5.566243,
1,2,1,0.75,Incorrect,5.582944,
1,2,1,0.75,Incorrect,5.600063,
1,2,1,0.75,Incorrect,5.617098,
1,2,1,0.75,Incorrect,5.633997,
1,2,1,0.75,Incorrect,5.650321,
1,2,1,0.75,Incorrect,5.667574,
1,2,1,0.75,Incorrect,5.684714,
1,2,1,0.75,Incorrect,5.701167,
1,2,1,0.75,Incorrect,5.717966,
1,2,1,0.75,Incorrect,5.735404,
1,2,1,0.75,Incorrect,5.752367,
1,2,1,0.75,Incorrect,5.769527,
1,2,1,0.75,Incorrect,5.786187,
1,2,1,0.75,Incorrect,5.802825,
1,2,1,0.75,Incorrect,5.820227,
1,2,1,0.75,Incorrect,5.837262,
1,2,1,0.75,Incorrect,5.853813,
1,2,1,0.75,Incorrect,5.870865,
1,2,1,0.75,Incorrect,5.887607,
1,2,1,0.75,Incorrect,5.904575,
1,2,1,0.75,Incorrect,5.921066,
1,2,1,0.75,Incorrect,5.938177,
1,2,1,0.75,Incorrect,5.954856,
1,2,1,0.75,Incorrect,5.971478,
1,2,1,0.75,Incorrect,5.987958,
1,2,1,0.75,Incorrect,6.005462,
1,2,1,0.75,Incorrect,6.023,
1,2,1,0.75,Incorrect,6.040423,
1,2,1,0.75,Incorrect,6.056814,
1,2,1,0.75,Incorrect,6.074018,
1,2,1,0.75,Incorrect,6.090971,
1,2,1,0.75,Incorrect,6.107672,
1,2,1,0.75,Incorrect,6.125031,
1,2,1,0.75,Incorrect,6.142604,
1,2,1,0.75,Incorrect,6.159164,
1,2,1,0.75,Incorrect,6.175691,
1,2,1,0.75,Incorrect,6.192449,
1,2,1,0.75,Incorrect,6.210022,
1,2,1,0.75,Incorrect,6.226539,
1,2,1,0.75,Incorrect,6.243967,
1,2,1,0.75,Incorrect,6.260996,
1,2,1,0.75,Incorrect,6.277657,
1,2,1,0.75,Incorrect,6.294536,
1,2,1,0.75,Incorrect,6.311006,
1,2,1,0.75,Incorrect,6.328014,
1,2,1,0.75,Incorrect,6.344803,
1,2,1,0.75,Incorrect,6.361208,
1,2,1,0.75,Incorrect,6.378237,
1,2,1,0.75,Incorrect,6.395594,
1,2,1,0.75,Incorrect,6.412114,
1,2,1,0.75,Incorrect,6.428843,
1,2,1,0.75,Incorrect,6.446418,
1,2,1,0.75,Incorrect,6.46227,
1,2,1,0.75,Incorrect,6.479493,
1,2,1,0.75,Incorrect,6.496249,
1,2,1,0.75,Incorrect,6.513321,
1,2,1,0.75,Incorrect,6.530843,
1,2,1,0.75,Incorrect,6.547823,
1,2,1,0.75,Incorrect,6.564879,
1,2,1,0.75,Incorrect,6.581593,
1,2,1,0.75,Incorrect,6.60057,
1,2,1,0.75,Incorrect,6.617337,
1,2,1,0.75,Incorrect,6.634157,
1,2,1,0.75,Incorrect,6.650726,
1,2,1,0.75,Incorrect,6.667796,
1,2,1,0.75,Incorrect,6.685199,
1,2,1,0.75,Incorrect,6.701974,
1,2,1,0.75,Incorrect,6.719801,
1,2,1,0.75,Incorrect,6.736253,
1,2,1,0.75,Incorrect,6.754457,
1,2,1,0.75,Incorrect,6.770426,
1,2,1,0.75,Incorrect,6.787554,
1,2,1,0.75,Incorrect,6.804566,
1,2,1,0.75,Incorrect,6.821721,
1,2,1,0.75,Incorrect,6.838364,
1,2,1,0.75,Incorrect,6.855137,
1,2,1,0.75,Incorrect,6.871647,
1,2,1,0.75,Incorrect,6.888876,
1,2,1,0.75,Incorrect,6.905905,
1,2,1,0.75,Incorrect,6.923153,
1,2,1,0.75,Incorrect,6.940908,
1,2,1,0.75,Incorrect,6.95822,
1,2,1,0.75,Incorrect,6.975535,
1,2,1,0.75,Incorrect,6.992364,
1,2,1,0.75,Incorrect,7.009868,
1,2,1,0.75,Incorrect,7.026593,
1,2,1,0.75,Incorrect,7.043492,
1,2,1,0.75,Incorrect,7.060151,
1,2,1,0.75,Incorrect,7.077639,
1,2,1,0.75,Incorrect,7.094144,
1,2,1,0.75,Incorrect,7.111237,
1,2,1,0.75,Incorrect,7.128282,
1,2,1,0.75,Incorrect,7.153394,
1,2,1,0.75,Incorrect,7.169977,
1,2,1,0.75,Incorrect,7.186749,
1,2,1,0.75,Incorrect,7.203664,
1,2,1,0.75,Incorrect,7.220347,
1,2,1,0.75,Incorrect,7.237311,
1,2,1,0.75,Incorrect,7.253897,
1,2,1,0.75,Incorrect,7.270617,
1,2,1,0.75,Incorrect,7.288243,
1,2,1,0.75,Incorrect,7.304375,
1,2,1,0.75,Incorrect,7.320667,
1,2,1,0.75,Incorrect,7.338152,
1,2,1,0.75,Incorrect,7.354836,
1,2,1,0.75,Incorrect,7.37176,
1,2,1,0.75,Incorrect,7.388804,
1,2,1,0.75,Incorrect,7.406209,
1,2,1,0.75,Incorrect,7.423028,
1,2,1,0.75,Incorrect,7.44006,
1,2,1,0.75,Incorrect,7.456601,
1,2,1,0.75,Incorrect,7.473258,
1,2,1,0.75,Incorrect,7.490382,
1,2,1,0.75,Incorrect,7.507326,
1,2,1,0.75,Incorrect,7.524538,
1,2,1,0.75,Incorrect,7.541368,
1,2,1,0.75,Incorrect,7.558775,
1,2,1,0.75,Incorrect,7.575267,
1,2,1,0.75,Incorrect,7.592304,
1,2,1,0.75,Incorrect,7.609054,
1,2,1,0.75,Incorrect,7.626413,
1,2,1,0.75,Incorrect,7.643582,
1,2,1,0.75,Incorrect,7.660526,
1,2,1,0.75,Incorrect,7.677499,
1,2,1,0.75,Incorrect,7.694704,
1,2,1,0.75,Incorrect,7.711644,
