trial #,trial cups,trial moves,cup speed,Selected answer,Correct answer,Correct/Incorrect,time to response,
1,2,1,0.75,1,2,Incorrect,1.111172,

2,3,1,0.75,3,1,Incorrect,1.06699,

3,4,2,0.75,1,1,Correct,1.188302,

,,,,,Screen Resolution,Percent Correct,Total Time
,,,,,2880 x 1800 @ 60Hz,33.3333333333333%,3.366464
