trial #,trial cups,trial moves,cup speed,Correct/Incorrect,time to response,
1,2,1,0.75,Correct,0.608583,
2,3,1,0.75,Incorrect,0.59503,
3,3,1,0.75,Correct,0.933983,

,,,,Percent Correct,Total Time
,,,2880 x 1800 @ 60Hz,66.6666666666667%,2.137596
