trial #,trial cups,trial moves,cup speed,Correct/Incorrect,time to response,
1,2,1,0.75,Incorrect,0.848595,
2,3,1,0.75,Incorrect,0.800191,
3,4,2,0.75,Incorrect,1.01689,

,,,Screen Resolution,Percent Correct,Total Time
,,,2880 x 1800 @ 60Hz,0%,2.665676
