trial #,trial cups,trial moves,cup speed,Selected answer,Correct answer,Correct/Incorrect,time to response,
1,2,1,0.75,2,2,Correct,0.948647,

2,3,1,0.75,3,3,Correct,0.870856,

3,3,1,0.75,2,1,Incorrect,1.88558,

,,,,,Screen Resolution,Percent Correct,Total Time
,,,,,2880 x 1800 @ 60Hz,66.6666666666667%,3.705083
