trial #,trial cups,trial moves,cup speed,Selected answer,Correct answer,Correct/Incorrect,time to response,
1,2,1,0.75,0,1,Incorrect,1.630827,

2,3,1,0.75,0,1,Incorrect,0.769248,

3,3,1,0.75,2,1,Incorrect,0.527118,

,,,,,Screen Resolution,Percent Correct,Total Time
,,,,,2880 x 1800 @ 60Hz,0%,2.927193
