trial #,trial cups,trial moves,cup speed,Selected answer,Correct answer,Correct/Incorrect,time to response,
1,2,1,0.75,1,2,Correct,0.680428,

2,3,1,0.75,0,3,Correct,0.70998,

3,3,1,0.75,1,4,Incorrect,0.698583,

,,,,,Screen Resolution,Percent Correct,Total Time
,,,,,2880 x 1800 @ 60Hz,100%,2.088991
