trial #,trial cups,trial moves,cup speed,Correct/Incorrect,time to response,
1,2,10,1.25,Incorrect,1.228342,
2,3,1,0.75,Incorrect,0.916378,
3,2,10,1.25,Incorrect,1.357235,
