trial #,trial cups,trial moves,cup speed,Correct/Incorrect,time to response,
1,3,1,0.75,Incorrect,1.715187,
2,2,10,1.25,Incorrect,1.76521,
3,2,10,1.25,Correct,1.543993,
4,2,10,1.25,Incorrect,1.443491,
